0.312243	0.58034	0	0	0.312243	0.58034	0.6	0.6	5.19994	0
0.426642	0.615084	4.57599	1.38978	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
0.676558	0.674777	4.93213	1.23011	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1.06588	0.543936	6.26174	-1.10433	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1.3975	0.49717	6.4185	-1.04254	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1.664	0.491085	5.75007	-0.71114	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1.97502	0.484878	5.86556	-0.490602	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
2.21157	0.562316	5.25529	0.237514	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
2.49742	0.59269	5.34284	0.349615	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
2.76479	0.61127	5.2674	0.339745	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
3.02555	0.630906	5.25637	0.359761	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
3.31351	0.54534	5.32839	-0.314498	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
3.63786	0.454334	5.55571	-0.826795	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
3.91588	0.526567	5.52585	-0.150811	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
4.21117	0.537604	5.57934	-0.0492925	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
4.46959	0.591609	5.21182	0.249313	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
4.65695	0.726284	4.97111	0.971086	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
4.91483	0.715338	4.84249	0.610459	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
5.22592	0.694371	5.06182	0.295795	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
5.48746	0.694738	5.36287	0.250916	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
5.80442	0.698974	5.50048	0.187499	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
6.0521	0.598486	5.04503	-0.432946	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
6.29932	0.744661	4.99045	0.437754	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
6.55039	0.785345	4.98309	0.534369	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
